name,description,latitude,longitude,color
王道家,"<a href=""https://twitter.com/oudouyakashiwa?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor"">Twitter</a>",35.86310705,139.9674962,blue
ラーメン二九六,"<a href=""https://twitter.com/ramen296 "">Twitter</a>",35.8612544,139.9706366,orange
AKEBI,"<a href=""https://www.instagram.com/akebimen/?hl=ja"">Instagram</a>",35.86090087,139.9741098,red
俺の生きる道 柏店,"<a href=""https://twitter.com/oremichikashiwa?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor "">Twitter</a>",35.85572449,139.9716449,orange
こってりラーメン誉,"<a href=""https://twitter.com/homare_kashiwa"">Twitter</a>",35.86054457,139.9690435,blue
大勝,"<a href=""https://twitter.com/ramen_daikatsu"">Twitter</a>",35.85460277,139.9735713,red
麺処　にし尾,"<a href=""https://twitter.com/mendokoronishio?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor"">Twitter</a>",35.86029125,139.9683458,red
三代目てらッちょ,"<a href=""https://gardengroup.co.jp/teraccho/"">Official Site</a>",35.86058639,139.9728617,blue
麺屋こうじ,"<a href=""https://twitter.com/ko_ji_official"">Twitter</a>",35.87855054,139.9643948,blue
めん吉,"<a href=""https://tabelog.com/chiba/A1203/A120301/12012674/"">tabelog</a>",35.86237634,139.9690177,blue
